EEG Sample Number,EEG Sample Time (s),EEG Signal,Trigger
45840,56.00341860001208,1011,
45841,56.004631100047845,1011,
45842,56.006400000012945,1010,
45843,56.00738010002533,421,
45844,56.00839450000785,6,
45845,56.00932660000399,5,
45846,56.01080370001728,5,
45847,56.01135530002648,5,
45848,56.01234030001797,5,
45849,56.0145549000008,5,
45850,56.015472700004466,6,
45851,56.01637110003503,230,
45852,56.0186314000166,1010,
45853,56.01955690002069,1011,
45854,56.020589900028426,1011,
45855,56.02279750001617,1011,
45856,56.023856900050305,1011,
45857,56.02488270000322,1011,
45858,56.025943500048015,1011,
45859,56.02711800002726,690,
45860,56.02807370002847,6,
45861,56.02894099999685,5,
45862,56.03091180004412,5,
45863,56.03143670002464,5,
45864,56.03241820004769,5,
45865,56.03332300001057,5,
45866,56.035277000046335,6,
45867,56.0362160000368,170,
45868,56.037194000033196,1010,
45869,56.03968780004652,1011,
45870,56.04069630004233,1011,
45871,56.04178379999939,1011,
45872,56.04353630001424,1011,
45873,56.04458490002435,1011,
45874,56.04555750003783,1010,
45875,56.04758740001125,493,
45876,56.04853110003751,5,
45877,56.04948830005014,5,
45878,56.05037520005135,5,
45879,56.05145490000723,5,
45880,56.05230080004549,5,
45881,56.05319550004788,5,
45882,56.05599520000396,6,
45883,56.05713050003396,211,
45884,56.05824650003342,1010,
45885,56.05992790003074,1011,
45886,56.0609461000422,1011,
45887,56.06196040002396,1011,
45888,56.064168600016274,1011,
45889,56.06516380002722,1010,
45890,56.06609480001498,1010,
45891,56.06773960002465,553,
45892,56.06872179999482,5,
45893,56.06968660000712,5,
45894,56.070644000021275,5,
45895,56.0721280000289,5,
45896,56.07378340000287,5,
45897,56.07470450003166,5,
45898,56.07597160001751,6,
45899,56.076903000008315,194,
45900,56.07791910000378,1010,
45901,56.08006609999575,1011,
45902,56.08100060001016,1011,
45903,56.08151710004313,1011,
45904,56.0823914000066,1011,
45905,56.085083100013435,1010,
45906,56.08599430002505,1010,
45907,56.08687390002888,583,
45908,56.088647400029004,6,
45909,56.089840900036506,5,
45910,56.090991400007624,5,
45911,56.092837600037456,5,
45912,56.0937663000077,5,
45913,56.09479590004776,5,
45914,56.095680300029926,5,
45915,56.09653979999712,110,
45916,56.09745280002244,1011,
45917,56.09845819999464,1011,
45918,56.10109460004605,1011,
45919,56.10160789999645,1011,
45920,56.102668300038204,1011,
45921,56.10480120003922,1012,
45922,56.105944800016005,1010,
45923,56.10704390000319,538,
45924,56.10915680002654,6,
45925,56.10999060003087,5,
45926,56.110834799997974,5,
45927,56.11132050002925,5,
45928,56.11299260001397,5,
45929,56.11388970003463,5,
45930,56.114930400042795,6,
45931,56.11745240003802,133,
45932,56.11828809999861,1010,
45933,56.119273699994665,1011,
45934,56.12162160000298,1011,
45935,56.122899700014386,1011,
45936,56.12397920002695,1011,
45937,56.12520420004148,1011,
45938,56.1261441000388,1010,
45939,56.12706040003104,648,
45940,56.12796490004985,5,
45941,56.12936690001516,5,
45942,56.13022320001619,5,
45943,56.13124960003188,5,
45944,56.13334390003001,5,
45945,56.13421410002047,6,
45946,56.13515750004444,6,
45947,56.1374507000437,104,
45948,56.138883400009945,1011,
45949,56.14047169999685,1011,
45950,56.14154800004326,1011,
45951,56.14250529999845,1011,
45952,56.14353520004079,1011,
45953,56.144441100012045,1011,
45954,56.14606719999574,1010,
45955,56.146988600026816,654,
45956,56.14797240000917,6,
45957,56.15014660003362,6,
45958,56.15105680003762,5,
45959,56.15159900003346,5,
45960,56.152128700050525,5,
45961,56.15420610003639,6,
45962,56.15561570000136,5,
45963,56.15709310001694,157,
45964,56.15812670002924,1010,
